User Name,PR Total,PR Score,Issue Total,Issue Score,Commit Total,Commit Score,LOC Total,LOC Score,Total Performance of Programmer
zkry,0.0,0.0,0.0,0.0,1.0,0.164,4.0,0.003,0.167
u5surf,1.0,0.867,1.0,0.867,1.0,0.164,10.0,0.007,1.9049999999999998
jelito,1.0,0.867,0.0,0.0,1.0,0.164,4.0,0.003,1.0339999999999998
doodlesbykumbi,0.0,0.0,0.0,0.0,1.0,0.164,74.0,0.051,0.215
cristaloleg,0.0,0.0,0.0,0.0,1.0,0.164,21.0,0.014,0.17800000000000002
clausti,0.0,0.0,0.0,0.0,1.0,0.164,2.0,0.001,0.165
cflewis,0.0,0.0,0.0,0.0,1.0,0.164,4.0,0.003,0.167
budougumi0617,0.0,0.0,0.0,0.0,1.0,0.164,2.0,0.001,0.165
benhoyt,0.0,0.0,0.0,0.0,1.0,0.164,2.0,0.001,0.165
a8m,1.0,0.867,1.0,0.867,1.0,0.164,36.0,0.025,1.9229999999999998
ktr0731,0.0,0.0,0.0,0.0,2.0,0.327,4.0,0.003,0.33
ijt,0.0,0.0,0.0,0.0,3.0,0.491,21.0,0.014,0.505
eliben,2.0,1.733,1.0,0.867,5.0,0.818,140.0,0.096,3.5140000000000002
shantuo,13.0,11.267,5.0,4.333,18.0,2.943,2159.0,1.488,20.031
vangent,11.0,9.533,4.0,3.467,48.0,7.849,4841.0,3.336,24.185
zombiezen,1.0,0.867,3.0,2.6,73.0,11.937,30402.0,20.952,36.356
h7kanna,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
poy,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
gracenoah,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
mickeyreiss,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
busgo,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
rogpeppe,0.0,0.0,6.0,5.2,0.0,0.0,0.0,0.0,5.2
myyk,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
srenatus,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
orichi,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
euclid1990,0.0,0.0,1.0,0.867,0.0,0.0,0.0,0.0,0.867
